type,labels,number_of_crashes,center_lat,center_lng
Ясно,300,2,55.8044045,37.4095685
Ясно,308,3,55.877528,37.48905666666666
Ясно,2361,2,55.7843805,37.634735
Ясно,313,2,55.741721999999996,37.546935000000005
Ясно,319,2,55.7257325,37.417926
Ясно,323,2,55.8222665,37.660644500000004
Ясно,326,3,55.78059366666667,37.633069666666664
Ясно,2374,3,55.86802733333334,37.707424333333336
Ясно,328,2,55.5810585,37.642072999999996
Ясно,329,4,55.74546825,37.60059275
Ясно,2387,2,55.7818495,37.668101
Ясно,341,2,55.899164999999996,37.550009
Ясно,2389,2,55.732659,37.669382999999996
Ясно,344,4,55.951297749999995,37.554448
Ясно,2394,3,55.663531,37.509137333333335
Ясно,349,2,55.599566,37.50535
Ясно,350,2,55.8021495,37.839929
Ясно,352,2,55.600126,37.482235
Ясно,2400,2,55.8562505,37.4695695
Ясно,355,2,55.784543,37.599506500000004
Ясно,360,2,55.756082,37.5486305
Ясно,364,2,55.8644005,37.5480565
Ясно,2413,2,55.777949,37.460702
Ясно,2412,2,55.706732,37.45603
Ясно,368,3,55.739534,37.616075
Ясно,369,2,55.791743,37.552406500000004
Ясно,370,2,55.8581805,37.396994500000005
Ясно,373,2,55.984636,37.2344255
Ясно,374,2,55.7574975,37.8042985
Ясно,375,2,55.6419945,37.345656500000004
Ясно,376,2,55.704314,37.731718
Ясно,2430,2,55.8125045,37.503349
Ясно,385,2,55.8576235,37.673251
Ясно,387,2,55.862530500000005,37.6954655
Ясно,388,2,55.970961,37.182835499999996
Ясно,2438,2,55.7047945,37.6350025
Ясно,2447,2,55.900143,37.546345
Ясно,408,2,55.719705,37.451062
Ясно,2456,2,55.8518695,37.6458335
Ясно,412,2,55.7009705,37.5466455
Ясно,413,3,55.70512566666667,37.767273
Ясно,417,2,55.799619500000006,37.503022
Ясно,2466,2,55.7387965,37.5292805
Ясно,419,2,55.897324499999996,37.6438005
Ясно,423,2,55.56911,37.451379
Ясно,2476,3,55.80557433333333,37.636545999999996
Ясно,434,2,55.885484500000004,37.6086315
Ясно,436,3,55.715697666666664,37.88354866666666
Ясно,2484,2,55.7469675,37.556076
Ясно,437,2,55.693328,37.535884499999995
Ясно,2486,2,55.652441,37.8366885
Ясно,2488,3,55.808219333333334,37.570799666666666
Ясно,440,2,55.6707995,37.7482615
Ясно,2490,2,55.863018499999995,37.696585999999996
Ясно,443,2,55.703573000000006,37.8165295
Ясно,441,2,55.728614500000006,37.558747499999996
Ясно,2493,2,55.878226999999995,37.7337885
Ясно,447,2,55.761159,37.5791265
Ясно,449,2,55.693197999999995,37.5761925
Ясно,451,2,55.635573,37.6737555
Ясно,2503,2,55.8819975,37.4472535
Ясно,456,2,55.6725325,37.424459999999996
Ясно,458,2,55.731128,37.484783
Ясно,460,6,55.759210833333334,37.611655166666665
Ясно,461,2,55.6576765,37.5222265
Ясно,464,2,55.8522635,37.4396625
Ясно,466,2,55.894452,37.696141
Ясно,468,2,55.680385,37.557953499999996
Ясно,469,3,55.60963666666667,37.709105
Ясно,2517,2,55.757407,37.5946945
Ясно,473,4,55.76796575,37.5259495
Ясно,474,3,55.660757333333336,37.482029000000004
Ясно,476,3,55.650844666666664,37.75900133333333
Ясно,2524,2,55.813243,37.5952255
Ясно,477,2,55.886116,37.585811
Ясно,482,3,55.803252666666666,37.508404
Ясно,486,2,55.726732,37.6083145
Ясно,488,3,55.79552966666667,37.543351666666666
Ясно,490,2,55.531439,37.1531925
Ясно,2539,2,55.984030000000004,37.152913
Ясно,2540,2,55.8876865,37.586224
Ясно,492,3,55.800413,37.560886
Ясно,494,2,55.673914999999994,37.6011585
Ясно,2548,2,55.671029000000004,37.554397
Ясно,502,2,55.714375000000004,37.3935825
Ясно,2552,2,55.8195965,37.639568
Ясно,513,3,55.847383666666666,37.37343533333333
Ясно,517,2,55.751360500000004,37.4123575
Ясно,519,2,55.842603,37.3935825
Ясно,522,2,55.806503,37.725195
Ясно,524,3,55.878191666666666,37.546456
Ясно,2575,2,55.810424999999995,37.637583
Ясно,2576,2,55.672847000000004,37.6262695
Ясно,529,2,55.7384215,37.773759
Ясно,2581,2,55.662848499999996,37.4319165
Ясно,2585,3,55.752771,37.583227
Ясно,537,2,55.7342265,37.4242615
