labels,number_of_injured,number_of_crashes,center_lat,center_lng
345,4,3,55.775084666666665,37.834965
861,3,2,55.730838,37.626806
865,4,2,55.6549805,37.6490575
866,4,2,55.619509,37.7835325
354,3,2,55.573640999999995,37.637379499999994
357,4,2,55.799279,37.799127
871,5,2,55.755786,37.369136999999995
363,4,2,55.8562505,37.4695695
366,4,2,55.6207205,37.4808455
881,4,2,55.574099000000004,37.565201
369,5,2,55.849457,37.440602
374,5,2,55.596877,37.479161000000005
375,5,2,55.898900499999996,37.5125225
379,0,2,55.547165500000006,37.545491999999996
894,4,2,55.679846999999995,37.850019
385,2,2,55.811027499999994,37.811771
387,2,2,55.611305,37.663090999999994
389,6,2,55.577147,37.5687305
399,4,2,55.8430935,37.354963999999995
405,4,2,55.7200435,37.423199499999996
406,7,3,55.805387,37.58302333333334
407,6,3,55.83145666666667,37.40559366666667
921,8,2,55.796191,37.79924
922,5,2,55.6233865,37.6085135
411,6,2,55.6053205,37.3404265
410,3,2,55.628952999999996,37.4308815
414,3,2,55.670394,37.5858755
930,4,2,55.7303,37.6103265
932,5,2,55.6761205,37.8564515
422,2,2,55.677067,37.7624345
935,4,2,55.595377,37.602865
426,5,2,55.672161,37.739898499999995
427,4,2,55.6873955,37.60324
428,5,2,55.50001,37.595059500000005
433,3,2,55.570068500000005,37.577909500000004
949,3,2,56.008408,37.197695499999995
950,2,2,55.762906,37.5631465
444,4,2,55.719672,37.6348095
956,4,2,55.852288,37.39539
447,2,2,55.7817315,37.668910999999994
448,4,2,55.5256885,37.514749
449,2,2,55.8666725,37.462569
962,4,2,55.730832,37.423961
451,6,2,55.794734500000004,37.573591
964,5,2,55.808182,37.5708335
969,4,2,55.8956795,37.661717499999995
459,5,2,55.843627,37.3931265
972,0,2,55.728793,37.4751805
461,6,3,55.60801433333333,37.535344333333335
463,4,2,55.726104,37.460525
978,2,2,55.5724615,37.657496
467,4,2,55.6375955,37.748401
469,4,2,55.767270499999995,37.5292005
470,4,2,55.690603499999995,37.412867500000004
474,4,2,55.7378415,37.841098
986,4,2,55.736371000000005,37.8381315
988,4,2,55.7105035,37.7300925
480,11,5,55.631853,37.619642400000004
996,3,2,55.75389,37.8423325
1005,4,2,55.730342,37.492422000000005
495,4,2,55.7359815,37.656106
504,2,2,55.805544499999996,37.4616515
506,8,4,55.66617225,37.768775250000004
