labels,all_crashes,number_of_crashes,center_lat,center_lng
986,0,3,55.598266333333335,37.41383333333333
989,0,2,55.619294,37.54303
990,0,2,55.582941500000004,37.564745
991,0,3,55.80081633333334,37.575058999999996
992,0,2,55.8027345,37.408812
996,0,3,55.79964866666666,37.63518
998,0,2,55.615770999999995,37.659915
999,0,2,55.680385,37.557953499999996
1002,0,2,55.757289,37.780883
1011,0,3,55.622548333333334,37.656977
1014,0,2,55.752266000000006,37.6626565
1019,0,3,55.870518000000004,37.63261166666667
1021,0,2,55.603117499999996,37.5996835
1023,1,2,55.689578499999996,37.736181
1026,0,2,55.7454665,37.720828
1030,0,2,55.8954265,37.665949999999995
1032,0,2,55.815555,37.7018435
1033,0,3,55.984639,37.234482666666665
1047,0,2,55.8528995,37.6790285
1048,0,2,55.7696395,37.55628
1049,0,2,55.573443999999995,37.640474499999996
1058,0,2,55.622510500000004,37.6086045
1059,0,2,55.7764705,37.553935499999994
1062,0,2,55.5713845,37.2022175
1066,0,2,55.732025,37.847336999999996
1070,0,2,55.6198815,37.686013
1071,0,3,55.727503,37.669444
1073,0,2,55.679399000000004,37.5113585
1076,0,2,55.673852,37.5238415
1077,1,2,55.736262,37.800876
1078,0,2,55.70286900000001,37.671835
1085,0,3,55.808629333333336,37.776228
1095,0,2,55.724689999999995,37.578526
1098,0,2,55.813282,37.5955635
1104,0,3,55.79959233333334,37.72847766666667
1119,0,2,55.885075,37.4745315
1126,0,3,55.70803933333333,37.747442666666664
1130,0,2,55.595780000000005,37.739325
1131,0,2,55.866772499999996,37.5419785
1136,0,2,55.612026,37.605649
1140,0,2,55.736742500000005,37.655457
1144,0,2,55.644901000000004,37.662608
1150,0,3,55.72481833333333,37.605615
1151,0,2,55.660352,37.7796865
1156,0,2,55.818780000000004,37.825385999999995
1157,0,3,55.78698833333333,37.74256466666667
1162,1,2,55.701627,37.621382499999996
1171,0,2,55.724436499999996,37.396045
1174,1,2,55.7483955,37.887329
1177,2,2,55.628952999999996,37.4308815
1180,0,3,55.864656,37.66199833333333
1188,0,2,55.5862855,37.598513999999994
1194,0,3,55.767893,37.593294
1196,0,4,55.68024875,37.46833575
1198,0,2,55.664924,37.440296000000004
1199,0,2,55.8931345,37.7031255
1201,0,2,55.66496,37.642523499999996
1203,0,2,55.767886000000004,37.564949
1206,0,2,55.862395500000005,37.584298000000004
1210,0,2,55.6001445,37.715952
1214,0,2,55.7887025,37.75001
1215,0,3,55.995339,37.231278333333336
1220,1,2,55.8276275,37.490791
1221,0,3,55.83938,37.363414666666664
1223,0,2,55.739185500000005,37.841269999999994
1227,0,3,55.710921,37.937143
1231,0,2,55.778284,37.580216
1233,0,2,55.610866,37.717765
1235,0,2,55.8035605,37.707294000000005
1243,0,3,55.795779,37.48337
1248,0,2,55.595971,37.4783995
1259,0,2,55.8562505,37.4695695
1265,0,2,55.896383,37.651112
1273,0,2,55.7049815,37.633211
1274,0,2,55.7907175,37.772825499999996
1279,0,2,55.745971,37.5621595
1280,1,2,55.6593955,37.5914755
1282,0,2,55.497357,37.557589
1290,0,2,55.997327999999996,37.221728
1291,0,2,55.56911,37.451379
1294,0,2,55.74951,37.4092735
1299,0,2,55.899074999999996,37.5300905
1300,0,3,55.68740533333333,37.42845666666667
1309,0,2,55.6964785,37.463679
1310,1,4,55.7024745,37.8496545
1313,0,3,55.746499666666665,37.534550333333335
1315,0,2,55.546440000000004,37.531877
1319,0,2,55.803434,37.552412000000004
1321,0,2,55.733849000000006,37.4141925
1323,0,5,55.6692474,37.4460626
1326,0,2,55.750189,37.833819000000005
1327,0,3,55.68527666666667,37.58038766666667
1334,0,2,55.8869375,37.557680000000005
1337,0,2,55.773505,37.546618499999994
1342,0,2,55.742495500000004,37.5012785
1346,0,5,55.818444400000004,37.4981768
1347,0,2,55.890924,37.528224
1351,1,2,55.882448499999995,37.454178999999996
1354,0,2,55.820980000000006,37.742526999999995
1355,0,2,55.8008105,37.5311155
1356,0,2,55.8877375,37.6552
1357,0,2,55.7080615,37.483131
1362,0,2,55.8103615,37.522951
1363,0,2,55.732054500000004,37.478764
1365,2,2,55.588732,37.275983499999995
1368,0,3,55.779081,37.675016
1370,0,2,55.7460855,37.558136000000005
1375,0,3,55.78815266666667,37.48464366666666
1380,0,3,55.710630333333334,37.819010999999996
1384,0,2,55.676148,37.4844715
1388,0,2,55.79936,37.8052265
1390,0,2,55.717749999999995,37.741331
1394,0,3,55.74361666666667,37.87470833333333
1395,1,2,55.6138865,37.4889135
1399,0,2,55.7612585,37.767681
1400,0,2,55.691931,37.530370000000005
1406,0,2,55.899164999999996,37.550009
1415,0,2,55.663614,37.4827285
1416,0,2,55.7818525,37.480491
1418,0,2,55.602175,37.4711625
1419,0,2,55.85031,37.4836085
1424,0,3,55.672853333333336,37.626275
1427,0,2,55.6495655,37.4097615
1432,0,2,55.593430999999995,37.635566
1433,0,3,55.605745999999996,37.534704
1434,0,2,55.7118425,37.4043975
1435,0,2,55.7838705,37.634928
1438,0,2,55.653448999999995,37.615149
1442,0,3,55.70427166666666,37.73172866666667
1452,0,2,55.642624,37.263914
1455,1,3,55.816699,37.78540133333333
1458,0,2,55.660497,37.740494
1459,0,5,55.7632172,37.7773518
1462,0,2,55.636042,37.521615499999996
1466,0,3,55.78882866666667,37.46556433333333
1468,0,2,55.574493000000004,37.4845415
1471,0,2,55.607384,37.505816499999995
1473,0,3,55.711489,37.627287
1475,0,4,55.773372,37.613344
1476,0,2,55.7845435,37.370333
1477,0,2,55.64151,37.345619
1479,0,2,55.885752,37.392558
1486,0,2,55.658932500000006,37.515709
1490,0,2,55.868241,37.707487
1493,0,2,55.805828,37.539806
1497,0,2,55.757712,37.636022
1498,0,2,55.575646,37.686935500000004
1506,0,2,55.889627000000004,37.5925115
1510,0,2,55.844678,37.542283999999995
1512,1,3,55.726503666666666,37.54848
1523,0,2,55.859294500000004,37.620363
1525,0,5,55.504728199999995,37.529904
1527,0,2,55.7565435,37.533234
1530,0,2,55.846804,37.5799315
1532,0,2,55.868581500000005,37.612922999999995
1533,0,2,55.697914,37.7528425
1535,0,3,55.735054,37.487383
1539,0,2,55.6371865,37.3639065
1545,0,2,55.783732,37.392107499999995
1550,0,3,55.581009,37.67380366666667
1556,0,3,55.75880633333333,37.619926666666665
1561,0,2,55.6367235,37.814137
1570,0,2,55.6510485,37.758733
1572,0,2,55.7779065,37.511873
1578,0,3,55.634559333333335,37.700121333333335
1579,0,2,55.6045325,37.713479
1587,0,2,55.785358,37.585494499999996
1588,0,2,55.78877799999999,37.454302
1592,0,2,55.680437,37.60765
1596,0,2,55.691269,37.550593500000005
1598,0,2,55.7825705,37.7286225
1601,1,2,55.7110115,37.7248405
1618,0,2,55.808649,37.464081500000006
1620,0,2,55.705,37.595081
1624,0,2,55.6417585,37.682204
1638,1,2,55.75389,37.8423325
1641,0,2,55.647515999999996,37.3907875
1643,0,2,55.770849,37.50211
1644,0,2,55.687634,37.573854
1646,0,2,55.608375,37.523203
1654,1,2,55.730013,37.674645999999996
1657,0,2,55.6771975,37.500061
1658,0,2,55.756890999999996,37.700663500000005
1660,1,5,55.8696024,37.6644564
1662,0,2,55.733855000000005,37.404724
1665,0,2,55.7992215,37.5572295
1670,0,2,55.748667,37.645608
1672,0,2,55.748287000000005,37.655806
1674,0,2,55.618997,37.7746925
1676,0,3,55.69545033333333,37.73380266666667
1678,0,2,55.804543499999994,37.517596999999995
1679,0,3,55.697000333333335,37.577813
1683,0,2,55.844723,37.4553645
1685,0,2,55.8548325,37.562293
1686,0,2,55.709431,37.9230235
1687,0,2,55.72037,37.63511
1688,0,2,55.827253999999996,37.436943
1695,0,2,55.7845495,37.521137499999995
1699,0,2,55.655419,37.4805185
1701,0,2,55.7596465,37.6835885
1709,0,2,55.782598,37.598025500000006
1710,0,2,55.810424999999995,37.6523135
1716,0,3,55.636917,37.45601166666667
1717,0,2,55.48769,37.514014
1719,0,2,55.723397000000006,37.4787585
1729,0,2,55.658902499999996,37.759178500000004
1732,0,3,55.902338,37.616429333333336
1733,1,3,55.73232566666667,37.495158
1738,0,2,55.775466,37.481039
1740,0,3,55.661184999999996,37.545103999999995
1745,0,2,55.596271,37.5878815
1748,0,2,55.653088499999996,37.7425865
1750,0,2,55.8570365,37.442597
1751,0,2,55.773173,37.526593
1752,0,2,55.6629265,37.6195155
1753,0,3,55.72335833333333,37.69228966666667
1755,1,3,55.663426,37.50883
1761,0,2,55.715792,37.8385555
1762,0,3,55.66946333333333,37.517680999999996
1764,0,2,55.68691750000001,37.6227935
1767,0,2,55.8724275,37.684543000000005
1771,1,2,55.754379,37.7080015
1773,0,3,55.622015,37.74319766666667
1775,0,2,55.586762,37.4317505
1792,0,2,55.50001,37.595059500000005
1793,1,2,55.6129015,37.6104175
1812,0,3,55.87105733333333,37.63818033333333
1814,0,2,55.753051,37.60044
1815,0,2,55.661668000000006,37.766093
1816,0,2,55.793359499999994,37.586342
1825,0,3,55.810158666666666,37.839363999999996
1838,0,2,55.8158295,37.662313
1842,1,2,55.699066,37.50054900000001
1844,0,2,55.6837785,37.461496
1847,0,2,55.728216,37.6343375
1848,0,2,55.981314,37.251318
1849,0,2,55.81494,37.7131565
1851,0,2,55.656411500000004,37.7271475
1856,0,2,55.75747,37.839655
1858,0,2,55.659526,37.406977499999996
1860,0,2,55.66575,37.5496175
1861,0,2,55.796993,37.78246
1862,0,2,55.699861,37.742704
1863,0,2,55.6446525,37.744641
1873,0,3,55.545657999999996,37.585043999999996
1876,0,2,55.6387365,37.690444
1877,0,2,55.6097295,37.767724
1879,0,7,55.622334714285714,37.61503728571429
1881,0,2,55.97719,37.162086
1884,0,2,55.775864,37.474333
1886,0,2,55.7736375,37.6322505
1889,0,3,55.87487133333333,37.526429
1892,0,2,55.601487,37.3561225
1894,0,2,55.8499515,37.422743499999996
1898,0,3,55.798627333333336,37.536817666666664
