type,labels,number_of_crashes,center_lat,center_lng
Светлое время суток,247,3,55.86957433333333,37.66468033333334
Светлое время суток,2302,2,55.748773,37.5605605
Светлое время суток,258,2,55.886122,37.5858215
Светлое время суток,259,3,55.630368,37.751165666666665
Светлое время суток,2307,4,55.545827,37.585119
Светлое время суток,2309,2,55.744087,37.5563765
Светлое время суток,263,2,55.6579035,37.412519
Светлое время суток,2316,2,55.7843805,37.634735
Светлое время суток,270,2,55.56911,37.451379
Светлое время суток,271,3,55.869723,37.440312
Светлое время суток,273,4,55.7288015,37.493358
Светлое время суток,275,2,55.7453125,37.569991
Светлое время суток,278,2,55.771519,37.6451955
Светлое время суток,279,3,55.71745,37.40175266666667
Светлое время суток,280,2,55.8744565,37.4066665
Светлое время суток,285,2,55.787409,37.6750855
Светлое время суток,2336,2,55.609450499999994,37.608475999999996
Светлое время суток,2337,2,55.70286900000001,37.671835
Светлое время суток,289,2,55.762731,37.773405
Светлое время суток,291,3,55.72163366666666,37.90233133333333
Светлое время суток,293,2,55.7993125,37.5345755
Светлое время суток,2343,2,55.8344065,37.3960285
Светлое время суток,298,4,55.5953845,37.60285675
Светлое время суток,299,2,55.778326,37.842530499999995
Светлое время суток,300,2,55.6563875,37.471581
Светлое время суток,2347,2,55.8113265,37.482723
Светлое время суток,304,2,55.252041,37.165321
Светлое время суток,2355,2,55.664924,37.440296000000004
Светлое время суток,308,5,55.6874402,37.4287098
Светлое время суток,307,3,55.810206666666666,37.799692
Светлое время суток,309,3,55.86211133333334,37.346981666666665
Светлое время суток,311,2,55.734976,37.509867
Светлое время суток,313,2,55.7940865,37.4945675
Светлое время суток,316,2,55.7224425,37.4505635
Светлое время суток,319,2,55.854116000000005,37.501236
Светлое время суток,322,2,55.6709355,37.62635
Светлое время суток,323,3,55.737895,37.76308533333333
Светлое время суток,324,3,55.811491,37.619000666666665
Светлое время суток,327,3,55.601321666666664,37.722512333333334
Светлое время суток,328,2,55.588732,37.275983499999995
Светлое время суток,334,2,55.497357,37.557589
Светлое время суток,335,2,55.676148,37.4844715
Светлое время суток,2385,2,55.716705000000005,37.619451
Светлое время суток,339,2,55.7889955,37.7502035
Светлое время суток,344,3,55.79380866666667,37.81914
Светлое время суток,2393,2,55.6517025,37.729684500000005
Светлое время суток,2395,2,55.832611,37.4534545
Светлое время суток,2396,2,55.805068000000006,37.396737
Светлое время суток,348,2,55.7337345,37.42365
Светлое время суток,350,3,55.646512333333334,37.51688
Светлое время суток,353,3,55.64169866666666,37.358408
Светлое время суток,2401,3,55.80330733333333,37.636274
Светлое время суток,356,2,55.7470945,37.814936
